Id da Instalação;Id do Equipamento;Nome;Id Tipo de Equipamento;Tipo de Rede;Agente Proprietário;Número da Outorga;Capacidade CPST Longa sem Limitação (A);Capacidade CPST Curta sem Limitação (A);Capacidade CPST Longa com Limitação (A);Capacidade CPST Curta com Limitação (A);Fator Limitante de Longa;Fator Limitante de Curta;Resistência (%);Reatância Fixa (%);Susceptância Shunt (MVAr);Comprimento (Km);Tipo do Cabo Pára-raio;Tensão;Data de Necessidade do SIN;Data Entrada;Data Prevista
PEFIAT;PEFIAT2PFE-2        ;LT  230 kV MATA NORTE           / PAU FERRO            C S2 PE          ;LTR;BASICA         ;ITAMARACÁ TRANSMISSORA SPE S.A.                                ;;630;756;630;756;;;0.60;3.04;6;32;;230;;11/10/2022;31/07/2021
PEFIAT;PEFIAT2PFE-1        ;LT  230 kV MATA NORTE           / PAU FERRO            C S1 PE          ;LTR;BASICA         ;ITAMARACÁ TRANSMISSORA SPE S.A.                                ;;630;756;630;756;;;0.60;3.04;6;32;;230;;11/10/2022;31/07/2021
BABJD ;BABJD-5JBA31MG      ;LT  500 kV BOM.JES.LAPA II      / JANAUBA 3            C L4 BA/MG       ;LTR;BASICA         ;JANAÚBA TRANSMISSORA DE ENERGIA ELÉTRICA S.A.                  ;013/2015 2;2950;4000;2950;4000;;;0.16;2.31;678;304;;500;;01/09/2021;09/02/2022
PICNP ;PICNP-5SJI-2        ;LT  500 kV CURRAL PIAUI II      / S.JOAO PIAUI         C 2  PI          ;LTR;BASICA         ;;;;;;;;;;;;1;;500;30/09/2017;;31/12/2022
PICNP ;PICNP-5MLD-2CE      ;LT  500 kV CURRAL PIAUI II      / MILAGRES II          C 2  PI/CE       ;LTR;BASICA         ;IRACEMA TRANSMISSORA DE ENRGIA S.A                             ;;;;;;;;;;;1;;500;30/09/2017;;31/07/2022
RSSCH2;RSSCH22CHA-1        ;LT  230 kV SCHARLAU 2           / CHARQUEADAS          C 1  RS          ;LTR;BASICA         ;CPFL TRANSMISSAO S.A.                                          ;1364/08   ;450;639;450;639;;;1.70;6.30;11;73;;230;31/12/2006;16/11/2015;15/11/2015
SPCAV ;SPCAV-4FDI-2        ;LT  440 kV CABREUVA             / FERNAO DIAS          C 2  SP          ;LTR;BASICA         ;;;;;;;;;;;;71;;440;28/02/2018;;31/12/2022
RNJCD ;RNJCD-2JCT-2        ;LT  230 kV JOAO CAMARA 2        / J. CAMARA III        C N2 RN          ;LTR;BASICA         ;ETAP EMPRESA TRANSMISSORA AGRESTE POTIGUAR S.A.                ;013/2015  ;1581;1960;1581;1960;;;0.06;0.59;2;10;;230;31/01/2019;06/04/2019;31/03/2019
RNJCD ;RNJCD-2JCT-1        ;LT  230 kV JOAO CAMARA 2        / J. CAMARA III        C N1 RN          ;LTR;BASICA         ;ETAP EMPRESA TRANSMISSORA AGRESTE POTIGUAR S.A.                ;013/2015  ;1581;1960;1581;1960;;;0.06;0.59;2;10;;230;31/01/2019;06/04/2019;31/03/2019
RNACT ;RNACT-5JCT-2        ;LT  500 kV ACU III              / J. CAMARA III        C V3 RN          ;LTR;BASICA         ;GIOVANNI SANGUINETTI TRANSMISSORA DE ENERGIA S.A.              ;013/2015 2;3164;3923;3164;3923;;;0.11;1.55;218;143;;500;31/01/2019;17/01/2020;30/07/2020
RNACT ;RNACT-5MLD-2CE      ;LT  500 kV ACU III              / MILAGRES II          C C2 RN/CE       ;LTR;BASICA         ;GIOVANNI SANGUINETTI TRANSMISSORA DE ENERGIA S.A.              ;013/2015 2;3600;4400;3600;4400;;;0.21;3.17;445;292;;500;31/01/2019;11/04/2020;30/07/2020
