Id da Instala��o;Nome;Id Agente Principal;Agente Principal;Data Prevista;Data Entrada,x,y
RNCPD;SUB CABECO PRETO II                                RN       ;AGT;GESTAMP EOLICA AGRESTE SA                                      ;28/02/2017;19/11/2016,-35.98544400199995,-5.475721999999962
BAUPR;SUB UTE PROSPERIDADE                               BA       ;IME;IMETAME ENERGIA LTDA                                           ;31/01/2018;16/10/2018,-38.207200005999994,-12.499200001999952
ALART ;SUB ARAPIRACA III                                  AL       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;29/06/2013;09/06/2013,-36.65173100699997,-9.784325003999982
ALMCD ;SUB MACEIO II                                      AL       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;31/01/2019;17/02/2019,-35.73770800199998,-9.53098900599997
ALMCO ;SUB MACEIO                                         AL       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;02/06/2000,-35.786666706000005,-9.57761110399997
ALMSI ;SUB MESSIAS                                        AL       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;02/06/2000,-35.846666701000004,-9.387194402999967
ALPEN ;SUB PENEDO                                         AL       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;02/06/2000,-36.586388900999964,-10.290000007000003
ALRLD ;SUB RIO LARGO II                                   AL       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;02/06/2000,-35.83000000599998,-9.47052780599995
ALSTII;SUB SANTANA II                                     AL       ;BR3;BRE 3 IMPLANTAÇÃO DE SISTEMAS DE TRANSMISSÃO ELÉTRICA SOCIEDADE;21/03/2022;21/09/2021,-37.278713606,-9.365179904000001
BAABD ;SUB ABIL II                                        BA       ;986;Renova Energia SA                                              ;31/03/2022;27/10/2022,-42.575483002,-14.353822000999969
BAABL ;SUB ABIL-I                                         BA       ;BIL;CENTRAIS EOLICAS ABIL S.A.                                     ;30/12/2016;10/02/2022,-42.575842000999955,-14.353933006999966
BAABX ;SUB ABAIXADORA                                     BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;02/06/2000,-38.194200002,-9.395278007000002
BAALC1;SUB ALCAÇUZ                                        BA       ;LCZ;CENTRAIS EÓLICAS ALCAÇUZ S.A.                                  ;01/07/2016;,-42.69359400099995,-13.816453002999992
BAALG ;SUB ALAGOINHAS II                                  BA       ;BIS;BRE 2 IMPLANTAÇÃO DE SISTEMAS DE TRANSMISSÃO ELÉTRICA SOCIEDADE;21/03/2023;22/04/2023,-38.400113902999976,-12.048938900999985
BAALV ;SUB ALVORADA                                       BA       ;ALV;Centrais Eólicas Alvorada SA                                   ;30/04/2014;04/07/2014,-42.636807001999955,-14.208409003999975
BAARA ;SUB ARACAS                                         BA       ;ASD;Centrais Eólicas dos Araças SA                                 ;31/10/2014;11/10/2014,-42.609369001999994,-14.102794007
BAASU ;SUB ASSURUA                                        BA       ;CP3;PARQUE EÓLICO CAPOEIRAS III S.A.                               ;31/12/2017;13/04/2018,-42.70830000199999,-11.195600002999981
BABAB ;SUB BABILONIA                                      BA       ;BA3;CENTRAL EOLICA BABILONIA III S.A.                              ;31/08/2018;14/11/2018,-41.22799999999995,-10.970000006999953
BABDD ;SUB BRUMADO II                                     BA       ;AFT;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S.A.                  ;30/06/2002;12/11/2002,-41.63611110299996,-14.213611103999995
BABJD ;SUB BOM JESUS DA LAPA II                           BA       ;TAE;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A                   ;30/04/2003;04/03/2003,-43.34292358899995,-13.31012588599998
BABJS ;SUB BOM JESUS DA LAPA                              BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;02/06/2000,-43.34611110399999,-13.308900006999977
